id,evo_id,data,nivel,nivel_ordem,origem,created_at
1,1154823,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
2,1228231,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
3,1228284,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
4,1228294,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
5,1228300,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
6,1228307,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
7,1228315,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
8,1228333,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
9,1228345,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
10,1228396,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
11,1228399,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
12,1228403,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
13,1228417,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
14,1228443,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
15,1228456,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
16,1228460,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
17,1228465,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
18,1228466,2025-12-21,4C,42,sync_clientes,2025-12-21 09:13:45
19,1228473,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
20,1228492,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
21,1228517,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
22,1228568,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
23,1228598,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
24,1228856,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
25,1228867,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
26,1228938,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
27,1229066,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
28,1229100,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
29,1229106,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
30,1229121,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
31,1229148,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
32,1229199,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
33,1229206,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
34,1229227,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
35,1229241,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
36,1229295,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
37,1229570,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
38,1229576,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
39,1229719,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
40,1229731,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
41,1230051,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
42,1230052,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
43,1230053,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
44,1230060,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
45,1230064,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
46,1230066,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
47,1230074,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
48,1230087,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
49,1230108,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
50,1230120,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
51,1230154,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
52,1230158,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
53,1230167,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
54,1230176,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
55,1230206,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
56,1230215,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
57,1230226,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
58,1230233,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
59,1230245,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
60,1230254,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
61,1230265,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
62,1230285,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
