id,evo_id,data,nivel,nivel_ordem,origem,created_at
63,1230295,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
64,1230307,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
65,1231602,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
66,1231613,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
67,1231617,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
68,1231631,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
69,1231642,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
70,1231647,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
71,1231658,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
72,1231662,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
73,1231675,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
74,1231686,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
75,1231693,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
76,1231709,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
77,1231710,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
78,1231717,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
79,1231727,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
80,1231733,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
81,1231736,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
82,1231780,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
83,1231782,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
84,1231812,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
85,1231913,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
86,1231978,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
87,1232125,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
88,1232174,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
89,1232442,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
90,1232649,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
91,1232657,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
92,1232666,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
93,1232674,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
94,1232691,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
95,1232693,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
96,1232712,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
97,1232722,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
98,1232739,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
99,1232743,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
100,1232762,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
101,1232781,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
102,1232789,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
103,1232791,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
104,1232798,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
105,1232803,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
106,1232820,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
107,1232826,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
108,1232833,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
109,1232850,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
110,1232861,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
111,1232932,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
112,1232967,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
113,1232998,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
114,1233005,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
115,1233010,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
116,1233018,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
117,1233020,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
118,1233022,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
119,1233025,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
120,1233027,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
121,1233038,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
122,1233043,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
123,1233065,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
124,1233071,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
125,1233078,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
126,1233097,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
127,1233098,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
128,1233115,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
129,1233120,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
130,1233124,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
131,1233137,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
132,1233145,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
133,1233154,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
134,1233156,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
135,1233159,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
136,1233162,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
137,1233163,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
138,1233165,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
139,1233169,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
140,1233176,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
141,1233177,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
142,1233182,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
143,1233193,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
144,1233239,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
145,1233358,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
146,1233793,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
147,1233800,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
148,1233837,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
149,1233901,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
150,1233991,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
151,1234019,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
152,1234021,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
153,1234088,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
154,1234121,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
155,1234145,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
156,1234154,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
157,1234198,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
158,1234206,2025-12-21,4C,42,sync_clientes,2025-12-21 09:13:45
159,1234242,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
160,1235438,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
161,1236627,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
162,1236639,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
163,1236645,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
164,1236650,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
165,1236693,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
166,1236697,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
167,1236698,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
168,1236700,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
169,1236711,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
170,1236720,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
171,1236722,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
172,1236724,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
173,1236728,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
174,1236730,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
175,1236732,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
176,1236735,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
177,1236797,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
178,1236813,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
179,1236835,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
180,1236863,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
181,1236883,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
182,1236884,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
183,1236889,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
184,1236897,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
185,1236900,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
186,1236904,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
187,1236911,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
188,1236963,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
189,1236981,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
190,1236998,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
191,1237052,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
192,1237068,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
193,1237078,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
194,1237080,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
195,1237091,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
196,1237102,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
197,1237110,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
198,1237119,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
199,1237121,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
200,1237158,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
201,1237188,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
202,1237226,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
203,1237236,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
204,1237242,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
205,1237255,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
206,1237270,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
207,1237273,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
208,1237286,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
209,1237295,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
210,1237313,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
211,1237317,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
212,1237321,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
213,1237374,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
214,1237380,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
215,1237382,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
216,1237435,2025-12-21,4C,42,sync_clientes,2025-12-21 09:13:45
217,1237469,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
218,1237479,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
219,1237483,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
220,1237521,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
221,1237523,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
222,1237561,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
223,1237792,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
224,1237800,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
225,1237809,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
226,1237814,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
227,1237855,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
228,1237857,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
229,1237902,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
230,1237928,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
231,1237941,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
232,1237945,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
233,1237948,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
234,1237951,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
235,1237957,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
236,1237980,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
237,1237985,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
238,1237995,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
239,1238011,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
240,1238021,2025-12-21,4B,41,sync_clientes,2025-12-21 09:13:45
241,1238022,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
242,1238025,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
243,1238037,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
244,1238056,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
245,1238080,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
246,1238115,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
247,1238165,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
248,1238166,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
249,1238258,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
250,1238285,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
251,1238286,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
252,1238299,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
253,1238303,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
254,1238713,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
255,1238721,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
256,1238728,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
257,1239196,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
258,1239225,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
259,1239233,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
260,1239291,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
261,1239296,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
262,1239324,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
263,1239327,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
264,1239344,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
265,1239358,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
266,1239394,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
267,1239402,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
268,1239407,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
269,1239413,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
270,1239668,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
271,1239670,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
272,1239674,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
273,1239682,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
274,1239727,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
275,1239740,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
276,1239773,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
277,1239836,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
278,1239839,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
279,1239887,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
280,1239891,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
281,1239898,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
282,1239901,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
283,1239904,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
284,1239909,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
285,1239927,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
286,1239932,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
287,1239936,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
288,1239938,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
289,1239947,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
290,1239954,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
291,1239956,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
292,1239960,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
293,1239962,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
294,1239970,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
295,1239972,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
296,1239978,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
297,1239989,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
298,1240027,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
299,1240045,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
300,1240049,2025-12-21,4C,42,sync_clientes,2025-12-21 09:13:45
301,1240055,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
302,1240061,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
303,1240062,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
304,1240065,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
305,1240071,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
306,1240120,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
307,1240123,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
308,1240125,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
309,1240131,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
310,1240168,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
311,1240176,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
312,1240184,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
313,1240185,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
314,1240187,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
315,1240204,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
316,1240232,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
317,1240234,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
318,1240240,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
319,1240244,2025-12-21,1A,10,sync_clientes,2025-12-21 09:13:45
320,1240263,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
321,1240267,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
322,1240303,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
323,1240324,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
324,1240326,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
325,1240332,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
326,1240333,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
327,1240346,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
328,1240349,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
329,1240350,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
330,1240375,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
331,1240424,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
332,1240460,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
333,1240469,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
334,1240485,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
335,1240494,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
336,1240498,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
337,1240539,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
338,1240609,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
339,1240619,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
340,1240635,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
341,1240639,2025-12-21,3C,32,sync_clientes,2025-12-21 09:13:45
342,1240663,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
343,1240666,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
344,1240710,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
345,1240772,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
346,1240809,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
347,1240822,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
348,1240838,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
349,1240842,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
350,1240866,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
351,1240873,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
352,1240901,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
353,1241178,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
354,1241224,2025-12-21,3A,30,sync_clientes,2025-12-21 09:13:45
355,1241299,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
356,1241409,2025-12-21,4A,40,sync_clientes,2025-12-21 09:13:45
357,1241426,2025-12-21,1C,12,sync_clientes,2025-12-21 09:13:45
358,1241467,2025-12-21,2B,21,sync_clientes,2025-12-21 09:13:45
359,1241472,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
360,1241544,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
361,1241550,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
362,1241564,2025-12-21,3B,31,sync_clientes,2025-12-21 09:13:45
363,1241568,2025-12-21,2C,22,sync_clientes,2025-12-21 09:13:45
364,1241610,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
365,1241615,2025-12-21,2A,20,sync_clientes,2025-12-21 09:13:45
366,1241622,2025-12-21,1B,11,sync_clientes,2025-12-21 09:13:45
